Adina-Ioana Vălean (Commissioner),Brussels Airlines SA/NV
Pablo Fabregas Martinez,Brussels Airlines SA/NV
Walter Goetz,Brussels Airlines SA/NV
Jorge Pinto Antunes,Ørsted A/S
Janusz Wojciechowski (Commissioner),Eurogroup for Animals
Roberto Berutti,Eurogroup for Animals
Tatiana Marquez Uriarte,thyssenkrupp Steel Europe AG
Kadri Simson (Commissioner),thyssenkrupp Steel Europe AG
Claude Bocqueraz,Bayerischer Bankenverband e. V.
Frans Timmermans (Executive Vice-President),European agri-cooperatives
Frans Timmermans (Executive Vice-President),Euro Foie Gras
Frans Timmermans (Executive Vice-President),Centre de liaison des industries transformatrices de viande de l'UE
Frans Timmermans (Executive Vice-President),Confédération des Associations Nationales de Tanneurs et Mégissiers de la Communauté Européenne
Frans Timmermans (Executive Vice-President),European Dairy Association aisbl
Frans Timmermans (Executive Vice-President),European Live Poultry and Hatching Egg Association
Frans Timmermans (Executive Vice-President),European Forum of Farm Animal Breeders
Frans Timmermans (Executive Vice-President),Fédération Européenne des Fabricants d'Aliments Composés
Frans Timmermans (Executive Vice-President),AnimalhealthEurope
Frans Timmermans (Executive Vice-President),EU Association of Specialty Feed Ingredients and their Mixtures
Frans Timmermans (Executive Vice-President),European farmers
Frans Timmermans (Executive Vice-President),Union Européenne du Commerce du Bétail et des Métiers de la Viande
Frans Timmermans (Executive Vice-President),Minderoo Foundation Limited ATF The Minderoo Foundation Trust
Frans Timmermans (Executive Vice-President),Fortescue Metals Group Ltd
Isabelle Perignon,Fern
Aleksandra Tomczak,Forum Energii
Filomena Chirico,Telefonica, S.A.
Antoine Colombani,European Environmental Bureau
Aleksandra Tomczak,European Environmental Bureau
Antoine Colombani,Greenpeace European Unit
Aleksandra Tomczak,Greenpeace European Unit
Johannes Hahn (Commissioner),Raiffeisen Bank International AG
Raul Hernandez Sagrera,SOS MEDITERRANEE
Laure Chapuis-Kombos,First Solar, Inc
Elina Melngaile,Orgalim – Europe's Technology Industries
Laure Chapuis-Kombos,EPIA SolarPower Europe
Simeona Manova,EIDD - Design for All Europe
Jorge Pinto Antunes,Skydda Skogen
Joan Canton,ArcelorMittal
Stefano Grassi,Havenbedrijf Rotterdam NV
Kadri Simson (Commissioner),Havenbedrijf Rotterdam NV
Stefano Grassi,Breakthrough Energy Catalyst Foundation
Kadri Simson (Commissioner),Breakthrough Energy Catalyst Foundation
Stefano Grassi,Hydrogen Europe
Kadri Simson (Commissioner),Hydrogen Europe
Anthony Whelan,Orgalim – Europe's Technology Industries
Claude Bocqueraz,JPMorgan Chase & Co.
Claude Bocqueraz,Accountancy Europe
Santina Bertulessi,Network for Disability Work Integration Social Enterprises
Maurits-Jan Prinz,YZR
Maurits-Jan Prinz,Johnson & Johnson
Daniel Mes,International Council on Clean Transportation
Anne Funch Jensen,European Alliance to Save Energy
Werner Stengg,Microsoft Corporation
Andrea Beltramello,Bayer AG
Caroline Boeshertz,Bayer AG
Andrea Beltramello,Verband der Chemischen Industrie e.V.
Caroline Boeshertz,Verband der Chemischen Industrie e.V.
Andrea Beltramello,Bundesarbeitgeberverband Chemie e.V.
Caroline Boeshertz,Bundesarbeitgeberverband Chemie e.V.
Stefanie Hiesinger,Royal Association of Netherlands' Shipowners
Virginijus Sinkevičius (Commissioner),Swedbank AB (publ)
Věra Jourová (Vice-President),Svaz průmyslu a dopravy ČR
Mairead McGuinness (Commissioner),Insurance Europe
Antoine Colombani,The European Steel Association
Andrea Beltramello,European Banking Federation
Andrea Beltramello,Copenhagen Economics
Carole Mancel-Blanchard,Vodafone Belgium SA
Sarah Nelen,SEC NEWGATE EU
Aleksandra Tomczak,SEC NEWGATE EU
Filomena Chirico,Microsoft Corporation
Agnieszka Skonieczna,Microsoft Corporation
Valere Moutarlier,Microsoft Corporation
Lukas Visek,Syngenta Crop Protection AG
Peter Power,BUSINESSEUROPE
Alienor Margerit,ENEL SpA
Yizhou Ren,Telefonica, S.A.
Alejandro Cainzos,Telefonica, S.A.
Michele Piergiovanni,Telefonica, S.A.
Anne Funch Jensen,Telefonica, S.A.
Monika Maglione,Twelve App
Michael Hager,Commerzbank AG
Věra Jourová (Vice-President),Hertie School
Mairead McGuinness (Commissioner),Federation of European Securities Exchanges
Mairead McGuinness (Commissioner),European Policy Centre
Andrea Beltramello,International Federation for Human Rights
Caroline Boeshertz,International Federation for Human Rights
Andrea Beltramello,European Center for Constitutional and Human Rights
Caroline Boeshertz,European Center for Constitutional and Human Rights
Andrea Beltramello,ClientEarth AISBL
Caroline Boeshertz,ClientEarth AISBL
Andrea Beltramello,European Coalition for Corporate Justice
Caroline Boeshertz,European Coalition for Corporate Justice
Andrea Beltramello,Clean Clothes Campaign / Stichting Schone Kleren Kampagne
Caroline Boeshertz,Clean Clothes Campaign / Stichting Schone Kleren Kampagne
Andrea Beltramello,Global Witness
Caroline Boeshertz,Global Witness
Andrea Beltramello,Anti-Slavery International
Caroline Boeshertz,Anti-Slavery International
Andrea Beltramello,Brunswick Group Advisory Limited
Andrea Beltramello,Alipay (Europe) Limited S.A.
Brian Synnott,Skydda Skogen
Brian Synnott,Swedish Forest Industries Federation
Zaneta Vegnere,European Branded Clothing Alliance
Karolina Herbout-Borczak,BEL
Panayiotis Pourgourides,BEL
Thor-Sten Vertmann,Fortum Oyj
Thor-Sten Vertmann,Vattenfall
Thor-Sten Vertmann,Statkraft AS
Laure Chapuis-Kombos,European Geothermal Energy Council
Valdis Dombrovskis (Executive Vice-President),Association des Constructeurs Européens d'Automobiles
Tommy De Temmerman,European Mortgage Federation - European Covered Bond Council
Valdis Dombrovskis (Executive Vice-President),Google
Joan Canton,Confederation of European Paper Industries
Renaud Savignat,World Organization of the Scout Movement - Bureau Européen du Scoutisme
Alienor Margerit,Fertilizers Europe
Aleksandra Tomczak,Shell Companies
Věra Jourová (Vice-President),Interactive Advertising Bureau Europe
Monika Ladmanova,SLAVONIC EUROPE
Eduard Hulicius,SLAVONIC EUROPE
Mairead McGuinness (Commissioner),Irish Farmers' Association
Katherine Power,Irish Farmers' Association
Mairead McGuinness (Commissioner),Bank of America Corporation
Antoine Colombani,Fédération bancaire française
Antoine Colombani,BNP PARIBAS
Christoph Nerlich,Google
Anouk Faber,Google
Charmaine Hili,European Coalition for Corporate Justice
Claude Bocqueraz,Mutuelle d'Assurance des Instituteurs de France
Peter Power,Mutuelle d'Assurance des Instituteurs de France
Katherine Power,Mutuelle d'Assurance des Instituteurs de France
Fabien Dell,Eurocities
Christoph Nerlich,Eurocities
Agnieszka Drzewoska,Schroders Investment Management (Europe) SA
Claude Bocqueraz,Schroders Investment Management (Europe) SA
Agnieszka Drzewoska,Fidelity International
Claude Bocqueraz,Fidelity International
Agnieszka Drzewoska,Vanguard Asset Management Limited
Claude Bocqueraz,Vanguard Asset Management Limited
Agnieszka Drzewoska,BlackRock
Claude Bocqueraz,BlackRock
Agnieszka Drzewoska,Fleishman-Hillard
Claude Bocqueraz,Fleishman-Hillard
Agnieszka Drzewoska,Invesco Management SA
Claude Bocqueraz,Invesco Management SA
Laure Chapuis-Kombos,Fern
Kurt Vandenberghe,Transport and Environment (European Federation for Transport and Environment)
Alienor Margerit,Intesa Sanpaolo
Werner Stengg,Twelve App
Daniel Braun,Association of Commercial Television and Video on Demand Services in Europe
Marie Frenay,Association of Commercial Television and Video on Demand Services in Europe
Mairead McGuinness (Commissioner),NASDAQ
Frans Timmermans (Executive Vice-President),Eurelectric aisbl
Brian Synnott,Energiföretagen /  Swedenergy
Asa Webber,Energiföretagen /  Swedenergy
Ylva Johansson (Commissioner),International Centre for Migration Policy Development
Raul Hernandez Sagrera,International Centre for Migration Policy Development
Jutta Urpilainen (Commissioner),International Planned Parenthood Federation European Network
Jutta Urpilainen (Commissioner),ASSOCIATION FEDERATION HANDICAP INTERNATIONAL
Jutta Urpilainen (Commissioner),Plan International EU Office
Jutta Urpilainen (Commissioner),GLOBAL HEALTH ADVOCATES
Jutta Urpilainen (Commissioner),OXFAM INTERNATIONAL EU ADVOCACY OFFICE
Jutta Urpilainen (Commissioner),WaterAid
Jutta Urpilainen (Commissioner),International Trade Union Confederation
Jutta Urpilainen (Commissioner),Alliance2015
Jutta Urpilainen (Commissioner),CONCORD Europe
Jutta Urpilainen (Commissioner),PLATFORMA
Stella Kyriakides (Commissioner),European Jewish Association
Sarah Nelen,CLAI
Daniel Mes,CLAI
Sarah Nelen,PLUG POWER EUROPE
Daniel Mes,PLUG POWER EUROPE
Sarah Nelen,Bracewell LLP
Daniel Mes,Bracewell LLP
Elisa Ferreira (Commissioner),AEM - Associação de Empresas Emitentes de Valores Cotados em Mercado (aka Portuguese Issuers)
Simeona Manova,Network of European Regions for a Competitive and Sustainable Tourism
Santina Bertulessi,All Policies for a Healthy Europe
Věra Jourová (Vice-President),Bertelsmann Stiftung
Frans Timmermans (Executive Vice-President),Association des Constructeurs Européens d'Automobiles
Ivo Belet,VERBOND VAN BELGISCHE ONDERNEMINGEN / FEDERATION DES ENTREPRISES DE BELGIQUE
Toma Sutic,VERBOND VAN BELGISCHE ONDERNEMINGEN / FEDERATION DES ENTREPRISES DE BELGIQUE
Mariya Gabriel (Commissioner),European Entrepreneurs CEA-PME
Camilla Bursi,Tetra Pak Group
Camilla Bursi,Stora Enso Oyj
Camilla Bursi,Institute for European Environmental Policy
Camilla Bursi,Conscience Consulting
Camilla Bursi,Unilever
Camilla Bursi,European Youth Forum
Camilla Bursi,H & M Hennes & Mauritz AB
Kim-Tobias Eling,Save the Children Europe
Kim-Tobias Eling,International Rescue Committee Belgium
Kim-Tobias Eling,Norwegian Refugee Council Europe
Margrethe Vestager (Executive Vice-President),Novo Nordisk A/S
Margrethe Vestager (Executive Vice-President),H. Lundbeck A/S
Margrethe Vestager (Executive Vice-President),LEO Pharma A/S
Helena Braun,H & M Hennes & Mauritz AB
Helena Braun,Stora Enso Oyj
Helena Braun,Conscience Consulting
Helena Braun,European Youth Forum
Helena Braun,Unilever
Helena Braun,Institute for European Environmental Policy
Helena Braun,Tetra Pak Group
Anthony Agotha,Round Table on Responsible Soy Association (RTRS)
Anthony Agotha,ISEAL Alliance
Anthony Agotha,FSC International Center GmbH (IC)
Anthony Agotha,Roundtable on Sustainable Palm Oil
Anthony Agotha,Rainforest Alliance
Anthony Agotha,Stichting Fair Trade Advocacy Office
Anthony Agotha,Marine Stewardship Council
Eglantine Cujo,Rainforest Alliance
Eglantine Cujo,Roundtable on Sustainable Palm Oil
Eglantine Cujo,Round Table on Responsible Soy Association (RTRS)
Eglantine Cujo,ISEAL Alliance
Eglantine Cujo,FSC International Center GmbH (IC)
Eglantine Cujo,European Round Table for Industry
Eglantine Cujo,Stichting Fair Trade Advocacy Office
Eglantine Cujo,Marine Stewardship Council
Valere Moutarlier,SAFRAN
Fabrice Comptour,SAFRAN
Walter Goetz,Community of European Railway and Infrastructure Companies
Elzbieta Lukaniuk,Community of European Railway and Infrastructure Companies
Walter Goetz,Ryanair Holdings
Gaëlle Michelier,Ryanair Holdings
Laure Chapuis-Kombos,Kreab
Laure Chapuis-Kombos,Les Dérivés Résiniques et Terpèniques
Jorge Pinto Antunes,European Environmental Bureau
Jorge Pinto Antunes,Global Witness
Florentine Hopmeier,Vodafone Belgium SA
Anthony Whelan,Vodafone Belgium SA
Estelle Göger,Giesecke+Devrient
Deirdre O’Hea,Irish Funds Industry Association CLG
Mairead McGuinness (Commissioner),Irish Funds Industry Association CLG
Alienor Margerit,Finance Denmark
Werner Stengg,YZR
Werner Stengg,Common Sense Media
Alejandro Cainzos,Common Sense Media
Lukas Visek,IMAGINE Foundation
Alvaro De Elera,Asociación de Profesionales de las Relaciones Institucionales
Daniel Braun,Seznam.cz, a.s.
Marie Frenay,Seznam.cz, a.s.
Marie Frenay,News Media Alliance
Mairead McGuinness (Commissioner),ING Group
Kim-Tobias Eling,Médecins du monde Belgique
Janez Lenarčič (Commissioner),Médecins du monde Belgique
Kim-Tobias Eling,Union des Organisations de secours et soins médicaux France
Janez Lenarčič (Commissioner),Union des Organisations de secours et soins médicaux France
Tuure Taneli Lahti,Outokumpu Oyj
Thierry Breton (Commissioner),Etsy Ireland
Renate Nikolay,Berufsverband der Datenschutzbeauftragten Deutschlands
Věra Jourová (Vice-President),The Mentor Group
Thierry Breton (Commissioner),WWF European Policy Programme
Joan Canton,WWF European Policy Programme
Thierry Breton (Commissioner),Transport and Environment (European Federation for Transport and Environment)
Joan Canton,Transport and Environment (European Federation for Transport and Environment)
Thierry Breton (Commissioner),European Environmental Bureau
Joan Canton,European Environmental Bureau
Thierry Breton (Commissioner),Environmental Coalition on Standards
Joan Canton,Environmental Coalition on Standards
Thierry Breton (Commissioner),Sandbag Climate Campaign
Joan Canton,Sandbag Climate Campaign
Thierry Breton (Commissioner),Climate Action Network Europe
Joan Canton,Climate Action Network Europe
Thierry Breton (Commissioner),Germanwatch
Joan Canton,Germanwatch
Thierry Breton (Commissioner),Association des Constructeurs Européens d'Automobiles
Mary Veronica Tovsak Pleterski,Stiftung Familienunternehmen
Jorge Pinto Antunes,Stichting BirdLife Europe
Jorge Pinto Antunes,Fern
Jorge Pinto Antunes,Partnership for Policy Integrity
Jorge Pinto Antunes,WWF European Policy Programme
Kurt Vandenberghe,CLG Europe
Anthony Whelan,Schwarz Unternehmenskommunikation International GmbH
Tommy De Temmerman,Finance Watch
Tommy De Temmerman,Associazione Bancaria Italiana
Despina Spanou,AeroSpace and Defence Industries Association of Europe
Kim Jorgensen,EuroTech Universities Alliance
Valeria Miceli,BUSINESSEUROPE
Riccardo Maggi,Enviva
Riccardo Maggi,Drax Group plc
Riccardo Maggi,AS Graanul Invest
Riccardo Maggi,US Industrial Pellet Association
Alvaro De Elera,Meta Platforms Ireland Limited and its various subsidiaries (f/k/a Facebook Ireland Limited)
Monika Ladmanova,Meta Platforms Ireland Limited and its various subsidiaries (f/k/a Facebook Ireland Limited)
Camilla Bursi,Helmholtz-Gemeinschaft Deutscher Forschungszentren e.V.
Christoph Nerlich,Lifelong Learning Platform
Anouk Faber,Lifelong Learning Platform
Katherine Power,BUSINESSEUROPE
Damyana Stoynova,Assicurazioni Generali S.p.A
Antoine Colombani,Assicurazioni Generali S.p.A
Michael Hager,AT&T, Inc.
Michael Hager,Deutsche Post DHL Group
Mattia De Grassi,EUROPEAN TRADE UNION CONFEDERATION
Colin Scicluna,EUROPEAN TRADE UNION CONFEDERATION
Laure Chapuis-Kombos,US Industrial Pellet Association
Laure Chapuis-Kombos,AS Graanul Invest
Laure Chapuis-Kombos,Drax Group plc
Laure Chapuis-Kombos,Enviva
Stella Kyriakides (Commissioner),PanCare
Stella Kyriakides (Commissioner),Childhood Cancer International - Europe
Stella Kyriakides (Commissioner),European Society for Paediatric Oncology
Filip Alexandru Negreanu Arboreanu,GRTgaz
Jorge Pinto Antunes,Vodafone Belgium SA
Jorge Pinto Antunes,Advanced Biofuels Coalition
Jorge Pinto Antunes,Blic Oy
Joan Canton,ArcelorMittal
Joan Canton,UPM-Kymmene Oyj
Joan Canton,ELECTRICITE DE FRANCE
Joan Canton,Fortum Oyj
Anthony Whelan,Shopify Inc.
Katherine Power,BVI Bundesverband Investment und Asset Management e.V.
Lukas Visek,Unilever
Lukas Visek,Nestlé S.A.
Lukas Visek,Danone
Riccardo Maggi,Advanced Biofuels Coalition
Riccardo Maggi,Blic Oy
Monika Maglione,Meta Platforms Ireland Limited and its various subsidiaries (f/k/a Facebook Ireland Limited)
Ylva Johansson (Commissioner),Meta Platforms Ireland Limited and its various subsidiaries (f/k/a Facebook Ireland Limited)
Tom Snels,Meta Platforms Ireland Limited and its various subsidiaries (f/k/a Facebook Ireland Limited)
Wojtek Talko,Avaaz Foundation
Daniel Braun,Avaaz Foundation
Frans Timmermans (Executive Vice-President),Fridays for Future Germany
Margrethe Vestager (Executive Vice-President),News Corporation
Alejandro Cainzos,News Corporation
Ana Carla  Pereira,European Association of Service providers for Persons with Disabilities
Cristina Rueda Catry,European Federation of Pharmaceutical Industries and Associations
Michael Hager,European Federation of Pharmaceutical Industries and Associations
Caroline Boeshertz,European Federation of Pharmaceutical Industries and Associations
Thor-Sten Vertmann,GEODE - The voice of local energy distributors across Europe
Pablo Fabregas Martinez,Uniunea Națională a Transportatorilor Rutieri din România
Joan Canton,Verband Deutscher Maschinen- und Anlagenbau e.V.
Joan Canton,International Council on Clean Transportation
Joan Canton,ENGIE
Joan Canton,Hydrogen Europe
Věra Jourová (Vice-President),Institut pro politiku a společnost
Katherine Power,BVI Bundesverband Investment und Asset Management e.V.
Virginijus Sinkevičius (Commissioner),Transport and Environment (European Federation for Transport and Environment)
Agne Razmislaviciute-Palioniene,Transport and Environment (European Federation for Transport and Environment)
Virginijus Sinkevičius (Commissioner),Umweltorganisation WWF Central and Eastern Erurope
Agne Razmislaviciute-Palioniene,Umweltorganisation WWF Central and Eastern Erurope
Virginijus Sinkevičius (Commissioner),Fern
Agne Razmislaviciute-Palioniene,Fern
Renate Nikolay,Stichting Free Press Unlimited
Kim Jorgensen,Bundesverband der Deutschen Industrie e.V.
Penelope Papandropoulos,Bundesverband der Deutschen Industrie e.V.
Anne Funch Jensen,Bundesverband der Deutschen Industrie e.V.
Johannes Hahn (Commissioner),Vereinigung der österreichischen Industrie - Industriellenvereinigung
Laure Chapuis-Kombos,BUSINESSEUROPE
Kurt Vandenberghe,Agora Energiewende
Kurt Vandenberghe,BUSINESSEUROPE
Filomena Chirico,Disinformation Index Ltd
Daniel Mes,Transport and Environment (European Federation for Transport and Environment)
Eszter Batta,Apple Inc.
Christiane Canenbley,Think Tank EUROPA
Thierry Breton (Commissioner),Centro Tecnológico del Mar - Fundación CETMAR
Thierry Breton (Commissioner),ENEL SpA
Thierry Breton (Commissioner),Gas Networks Ireland
Thierry Breton (Commissioner),Prime Laser Technology SA
Thierry Breton (Commissioner),Končar Elektroindustrija d.d.
Thierry Breton (Commissioner),Eurelectric aisbl
Thierry Breton (Commissioner),EUROGAS aisbl
Thierry Breton (Commissioner),Vestas Wind Systems A/S
Thierry Breton (Commissioner),Asociación Valenciana de Empresas del Sector de la Energía
Thierry Breton (Commissioner),European Federation of Public Service Unions
Thierry Breton (Commissioner),industriAll European Trade Union
Thierry Breton (Commissioner),European Forum of technical and Vocational Education and Training
Thierry Breton (Commissioner),FINCANTIERI SpA
Thierry Breton (Commissioner),Ocean Energy Europe
Peeter Kadarik,Ragn-Sells
Kadri Simson (Commissioner),Ragn-Sells
Daniel Braun,Bureau Européen des Unions de Consommateurs
Eduard Hulicius,Bureau Européen des Unions de Consommateurs
Marius  Vaščega ,International Federation of Organic Agriculture Movements EU Regional Group
Frans Timmermans (Executive Vice-President),IMAGINE Foundation
Anouk Faber,industriAll European Trade Union
Nicolas Schmit (Commissioner),industriAll European Trade Union
Christoph Nerlich,industriAll European Trade Union
Anouk Faber,Gas Networks Ireland
Nicolas Schmit (Commissioner),Gas Networks Ireland
Christoph Nerlich,Gas Networks Ireland
Anouk Faber,ENEL SpA
Nicolas Schmit (Commissioner),ENEL SpA
Christoph Nerlich,ENEL SpA
Anouk Faber,Vestas Wind Systems A/S
Nicolas Schmit (Commissioner),Vestas Wind Systems A/S
Christoph Nerlich,Vestas Wind Systems A/S
Anouk Faber,Končar Elektroindustrija d.d.
Nicolas Schmit (Commissioner),Končar Elektroindustrija d.d.
Christoph Nerlich,Končar Elektroindustrija d.d.
Anouk Faber,Prime Laser Technology SA
Nicolas Schmit (Commissioner),Prime Laser Technology SA
Christoph Nerlich,Prime Laser Technology SA
Anouk Faber,Asociación Valenciana de Empresas del Sector de la Energía
Nicolas Schmit (Commissioner),Asociación Valenciana de Empresas del Sector de la Energía
Christoph Nerlich,Asociación Valenciana de Empresas del Sector de la Energía
Anouk Faber,European Federation of Public Service Unions
Nicolas Schmit (Commissioner),European Federation of Public Service Unions
Christoph Nerlich,European Federation of Public Service Unions
Anouk Faber,Centro Tecnológico del Mar - Fundación CETMAR
Nicolas Schmit (Commissioner),Centro Tecnológico del Mar - Fundación CETMAR
Christoph Nerlich,Centro Tecnológico del Mar - Fundación CETMAR
Anouk Faber,European Forum of technical and Vocational Education and Training
Nicolas Schmit (Commissioner),European Forum of technical and Vocational Education and Training
Christoph Nerlich,European Forum of technical and Vocational Education and Training
Anouk Faber,Eurelectric aisbl
Nicolas Schmit (Commissioner),Eurelectric aisbl
Christoph Nerlich,Eurelectric aisbl
Anouk Faber,FINCANTIERI SpA
Nicolas Schmit (Commissioner),FINCANTIERI SpA
Christoph Nerlich,FINCANTIERI SpA
Anouk Faber,EUROGAS aisbl
Nicolas Schmit (Commissioner),EUROGAS aisbl
Christoph Nerlich,EUROGAS aisbl
Anouk Faber,Ocean Energy Europe
Nicolas Schmit (Commissioner),Ocean Energy Europe
Christoph Nerlich,Ocean Energy Europe
Thierry Breton (Commissioner),Planet Labs Germany
Fabrice Comptour,Planet Labs Germany
Helena Braun,The Alliance for Beverage Cartons and the Environment
Riccardo Maggi,ROCKWOOL International A/S
Diederik Samsom,ROCKWOOL International A/S
Diederik Samsom,CLG Europe
Mairead McGuinness (Commissioner),Mastercard Europe
Agnieszka Drzewoska,Mastercard Europe
Mairead McGuinness (Commissioner),International Swaps and Derivatives Association
Roberto Reig Rodrigo,Slow Food
Roberto Reig Rodrigo,International Federation of Organic Agriculture Movements EU Regional Group
Roberto Reig Rodrigo,European Coordination Via Campesina
Roberto Reig Rodrigo,Corporate Europe Observatory
Roberto Reig Rodrigo,Friends of the Earth Europe
Roberto Reig Rodrigo,Greenpeace European Unit
Anthony Whelan,Seznam.cz, a.s.
Joan Canton,UNIFE
Florian Denis,European Financial Services Round Table
Daniel Mes,Association des Constructeurs Européens d'Automobiles
Penelope Papandropoulos,Heinrich Bauer Verlag KG
Stefano Grassi,AtlasInvest Holding
Filomena Chirico,Heinrich Bauer Verlag KG
Frans Timmermans (Executive Vice-President),EPIA SolarPower Europe
Frans Timmermans (Executive Vice-President),Land- en Tuinbouw Organisatie Nederland
Filomena Chirico,Mastercard Europe
Janez Lenarčič (Commissioner),Save the Children Europe
Kasia Jurczak,Save the Children Europe
Filip Alexandru Negreanu Arboreanu,Association des Constructeurs Européens d'Automobiles
Laure Chapuis-Kombos,EWABA
Astrid Dentler,European Association of Service providers for Persons with Disabilities
Florian Denis,Deutsches Aktieninstitut
Florian Denis,EuropeanIssuers
Florian Denis,Association Française des Entreprises Privées / French Association of Large Companies
Florian Denis,Associazione fra le società italiane per azioni
Florian Denis,CONSEIL DE COOPERATION ECONOMIQUE
Tommy De Temmerman,The Institute of International and European Affairs, Brussels
Mairead McGuinness (Commissioner),The Institute of International and European Affairs, Brussels
Maurits-Jan Prinz,Pfizer Inc.
Andrea Beltramello,ClientEarth AISBL
Caroline Boeshertz,ClientEarth AISBL
Andrea Beltramello,Environmental Investigation Agency
Caroline Boeshertz,Environmental Investigation Agency
Andrea Beltramello,WWF European Policy Programme
Caroline Boeshertz,WWF European Policy Programme
Andrea Beltramello,Fern
Caroline Boeshertz,Fern
Andrea Beltramello,Conservation International Europe
Caroline Boeshertz,Conservation International Europe
Andrea Beltramello,Green 10
Caroline Boeshertz,Green 10
Andrea Beltramello,Global Witness
Caroline Boeshertz,Global Witness
Andrea Beltramello,WCS EU
Caroline Boeshertz,WCS EU
Andrea Beltramello,Association Française des Entreprises Privées / French Association of Large Companies
Andrea Beltramello,EuropeanIssuers
Andrea Beltramello,Deutsches Aktieninstitut
Andrea Beltramello,Associazione fra le società italiane per azioni
Andrea Beltramello,FTI Consulting Belgium
Andrea Beltramello,Aon
Kim-Tobias Eling,Norwegian Refugee Council Europe
Diederik Samsom,EUROPE'S MEDIALAB (Fondation EURACTIV)
Fabrice Comptour,Deutsche Telekom
Thierry Breton (Commissioner),Deutsche Telekom
Fabrice Comptour,Atos SE (France)
Thierry Breton (Commissioner),Atos SE (France)
Fabrice Comptour,IRIDEOS S.P.A.
Thierry Breton (Commissioner),IRIDEOS S.P.A.
Fabrice Comptour,Digital Data Centre Bidco SL
Thierry Breton (Commissioner),Digital Data Centre Bidco SL
Fabrice Comptour,Indra
Thierry Breton (Commissioner),Indra
Fabrice Comptour,Capgemini Invent - the Netherlands
Thierry Breton (Commissioner),Capgemini Invent - the Netherlands
Fabrice Comptour,Retelit Spa
Thierry Breton (Commissioner),Retelit Spa
Fabrice Comptour,Magic Cloud Oy
Thierry Breton (Commissioner),Magic Cloud Oy
Fabrice Comptour,Aruba S.p.A.
Thierry Breton (Commissioner),Aruba S.p.A.
Fabrice Comptour,OVH Groupe
Thierry Breton (Commissioner),OVH Groupe
Fabrice Comptour,Leaseweb Global B.V
Thierry Breton (Commissioner),Leaseweb Global B.V
Fabrice Comptour,Orange
Thierry Breton (Commissioner),Orange
Fabrice Comptour,Ericsson
Thierry Breton (Commissioner),Ericsson
Fabrice Comptour,AMADEUS IT GROUP S.A.
Thierry Breton (Commissioner),AMADEUS IT GROUP S.A.
Fabrice Comptour,1&1 AG
Thierry Breton (Commissioner),1&1 AG
Fabrice Comptour,Airbus
Thierry Breton (Commissioner),Airbus
Antoine Colombani,European Container Glass Federation
Helena Braun,European Container Glass Federation
Thierry Breton (Commissioner),Infineon Technologies AG
Fabrice Comptour,Infineon Technologies AG
Thierry Breton (Commissioner),NXP Semiconductors Netherlands B.V.
Fabrice Comptour,NXP Semiconductors Netherlands B.V.
Thierry Breton (Commissioner),Robert Bosch GmbH
Fabrice Comptour,Robert Bosch GmbH
Astrid Dentler,European Council of Optometry and Optics
Arto Virtanen,Aalto-korkeakoulusäätiö / Aalto University
Olai Voionmaa,Aalto-korkeakoulusäätiö / Aalto University
Eglantine Cujo,WWF European Policy Programme
Eglantine Cujo,Global Witness
Eglantine Cujo,Environmental Investigation Agency
Eglantine Cujo,WCS EU
Eglantine Cujo,Fern
Eglantine Cujo,ClientEarth AISBL
Eglantine Cujo,Greenpeace European Unit
Eglantine Cujo,Conservation International Europe
Margaritis Schinas (Vice-President),Atlantic Council of the United States, Inc
Maria Luisa Llano Cardenal,Atlantic Council of the United States, Inc
Joan Canton,Association des Constructeurs Européens d'Automobiles
Pauline Weinzierl,Association des Constructeurs Européens d'Automobiles
Stefano Grassi,Hydrogen Europe
Kadri Simson (Commissioner),Hydrogen Europe
Stefano Grassi,Breakthrough Energy Catalyst Foundation
Kadri Simson (Commissioner),Breakthrough Energy Catalyst Foundation
Zaneta Vegnere,BUSINESSEUROPE
Maurits-Jan Prinz,BioNTech SE
Alvaro De Elera,European Network of National Human Rights Institutions
Monika Ladmanova,European Network of National Human Rights Institutions
Daniel Braun,DROG BV
Alvaro De Elera,Athenora Consulting
Andrea Beltramello,FERRERO International
Toma Sutic,Assembly of European Regions
Katherine Power,European University Institute
Mairead McGuinness (Commissioner),European University Institute
Arto Virtanen,Suomen nuorisoalan kattojärjestö Allianssi ry - The Finnish National Youth Council Allianssi
Helena Braun,Kreab
Helena Braun,Veolia Environnement
Sarah Nelen,Benelux Business Roundtable
Diederik Samsom,Benelux Business Roundtable
Luc De Lobel,Institut français des relations internationales
Florian Denis,Accountancy Europe
Lukas Visek,Fridays For Future SOSAmazonia International
Lukas Visek,Groupe Limagrain Holding
Stefanie Hiesinger,International Emissions Trading Association
Aleksandra Tomczak,CONSEIL DE COOPERATION ECONOMIQUE
Alvaro De Elera,Democracy Reporting International
Věra Jourová (Vice-President),BUSINESSEUROPE
Frans Timmermans (Executive Vice-President),Shell Companies
Werner Stengg,Mastercard Europe
Werner Stengg,European Association Automotive Suppliers
Kim Jorgensen,Vodafone Belgium SA
Michele Piergiovanni,Vodafone Belgium SA
Andrea Beltramello,Association for Financial Markets in Europe
Andrea Beltramello,BNP PARIBAS
Thierry Breton (Commissioner),Association Internationale de la Savonnerie, de la Détergence et des Produits d'Entretien
